Force (N);Position (mm)
293;0.0300
314;0.0322
336;0.0344
361;0.0367
386;0.0391
410;0.0421
436;0.0447
463;0.0473
490;0.0503
517;0.0534
545;0.0564
569;0.0592
591;0.0618
617;0.0648
636;0.0665
661;0.0690
685;0.0718
703;0.0739
732;0.0769
755;0.0795
779;0.0821
809;0.0852
842;0.0890
865;0.0916
889;0.0946
917;0.0982
934;0.0997
962;0.103
989;0.107
1010;0.110
1040;0.114
1060;0.116
1090;0.119
1110;0.123
1130;0.125
1150;0.128
1170;0.132
1200;0.135
1210;0.138
1230;0.141
1270;0.144
1290;0.147
1310;0.150
1330;0.152
1350;0.154
1370;0.157
1390;0.159
1410;0.162
1440;0.165
1460;0.167
1480;0.169
1500;0.172
1520;0.175
1540;0.177
1560;0.179
1580;0.182
1600;0.184
1620;0.187
1650;0.190
1670;0.192
1690;0.195
1710;0.198
1730;0.200
1750;0.202
1780;0.205
1800;0.208
1820;0.211
1840;0.213
1860;0.216
1880;0.219
1910;0.221
1930;0.224
1950;0.227
1970;0.229
2000;0.232
2020;0.235
2040;0.238
2070;0.240
2090;0.244
2110;0.247
2140;0.250
2160;0.253
2190;0.255
2210;0.258
2230;0.261
2260;0.264
2280;0.268
2310;0.271
2330;0.274
2360;0.277
2380;0.280
2410;0.283
2430;0.286
2450;0.289
2480;0.292
2500;0.295
2530;0.298
2550;0.301
2580;0.304
2600;0.308
2620;0.311
2650;0.314
2670;0.317
2700;0.320
2720;0.323
2740;0.326
2770;0.329
2790;0.332
2820;0.335
2840;0.339
2870;0.342
2890;0.346
2920;0.349
2940;0.352
2960;0.355
2990;0.358
3010;0.362
3040;0.365
3060;0.369
3090;0.372
3110;0.376
3140;0.379
3160;0.382
3190;0.386
3210;0.389
3240;0.393
3260;0.396
3290;0.399
3310;0.403
3340;0.406
3360;0.410
3390;0.413
3410;0.417
3440;0.420
3460;0.423
3490;0.427
3510;0.431
3540;0.434
3570;0.438
3590;0.442
3620;0.445
3640;0.448
3670;0.452
3700;0.456
3720;0.459
3750;0.463
3780;0.467
3800;0.470
3830;0.474
3860;0.477
3880;0.481
3910;0.485
3940;0.489
3960;0.493
3990;0.496
4020;0.499
4050;0.503
4080;0.507
4100;0.512
4130;0.516
4160;0.520
4180;0.523
4210;0.525
4240;0.529
4270;0.533
4300;0.537
4330;0.541
4350;0.545
4380;0.548
4410;0.552
4440;0.556
4470;0.560
4500;0.564
4520;0.568
4550;0.572
4580;0.576
4610;0.579
4640;0.583
4670;0.587
4700;0.591
4730;0.595
4760;0.599
4790;0.603
4820;0.607
4850;0.611
4880;0.615
4910;0.619
4940;0.623
4970;0.627
5000;0.631
5030;0.636
5060;0.641
5090;0.645
5120;0.649
5150;0.652
5180;0.655
5210;0.659
5240;0.665
5270;0.669
5300;0.673
5330;0.677
5360;0.681
5400;0.685
5430;0.689
5460;0.693
5490;0.697
5520;0.701
5550;0.705
5590;0.709
5620;0.713
5650;0.719
5680;0.723
5710;0.727
5740;0.731
5770;0.734
5800;0.738
5830;0.742
5870;0.746
5900;0.750
5930;0.754
5970;0.760
6000;0.765
6030;0.769
6070;0.773
6100;0.777
6130;0.781
6170;0.786
6200;0.791
6230;0.795
6270;0.799
6300;0.803
6330;0.807
6360;0.811
6400;0.817
6430;0.821
6470;0.825
6500;0.829
6540;0.833
6570;0.839
6610;0.843
6640;0.847
6670;0.851
6710;0.855
6740;0.861
6780;0.866
6810;0.870
6850;0.873
6880;0.877
6920;0.883
6950;0.888
6990;0.892
7020;0.896
7060;0.901
7090;0.906
7130;0.910
7160;0.914
7200;0.920
7240;0.924
7270;0.928
7310;0.932
7340;0.938
7380;0.943
7410;0.947
7450;0.950
7490;0.954
7520;0.960
7560;0.965
7590;0.969
7630;0.972
7670;0.979
7700;0.983
7740;0.988
7780;0.994
7820;0.998
7850;1.00
7890;1.01
7930;1.01
7960;1.02
8000;1.02
8030;1.03
8070;1.03
8110;1.03
8140;1.04
8180;1.04
8210;1.05
8250;1.05
8290;1.06
8320;1.06
8360;1.07
8390;1.07
8430;1.07
8470;1.08
8500;1.09
8540;1.09
8570;1.09
8610;1.10
8650;1.10
8690;1.11
8720;1.11
8760;1.12
8800;1.12
8830;1.13
8870;1.13
8900;1.14
8940;1.14
8970;1.15
9010;1.15
9040;1.16
9070;1.16
9110;1.16
9140;1.17
9180;1.17
9210;1.18
9240;1.18
9280;1.19
9310;1.19
9350;1.20
9380;1.20
9410;1.21
9440;1.21
9470;1.22
9510;1.22
9530;1.23
9560;1.23
9590;1.24
9620;1.24
9660;1.25
9680;1.25
9710;1.25
9740;1.26
9760;1.27
9790;1.27
9820;1.27
9840;1.28
9870;1.28
9890;1.29
9910;1.29
9930;1.30
9950;1.30
9970;1.31
9990;1.31
10000;1.32
10000;1.33
10100;1.34
10100;1.34
10100;1.34
10100;1.35
10100;1.35
10100;1.36
10100;1.36
10100;1.37
10100;1.37
10100;1.38
10100;1.38
10100;1.39
10000;1.39
10000;1.40
9990;1.40
9970;1.41
9950;1.41
9930;1.42
9920;1.42
9900;1.43
9880;1.43
9860;1.44
9860;1.44
9860;1.45
9870;1.46
9890;1.47
9900;1.48
9910;1.49
9920;1.49
9920;1.50
9930;1.51
9930;1.51
9920;1.53
9890;1.55
9870;1.56
9860;1.57
9860;1.58
9860;1.59
9870;1.61
9870;1.62
9870;1.63
9870;1.65
9870;1.66
9870;1.67
9880;1.68
9890;1.69
9890;1.70
9900;1.71
9910;1.72
9920;1.73
9920;1.73
9930;1.74
9930;1.75
9930;1.76
9930;1.77
9920;1.78
9920;1.78
9920;1.79
9910;1.80
9900;1.81
9900;1.81
9890;1.82
9890;1.84
9890;1.84
9900;1.85
9900;1.85
9910;1.86
9910;1.88
9900;1.89
9900;1.89
9900;1.90
9900;1.90
9900;1.91
9900;1.91
9900;1.92
9910;1.92
9910;1.93
9920;1.94
9920;1.94
9930;1.94
9930;1.95
9940;1.95
9940;1.96
9940;1.97
9950;1.97
9950;1.98
9950;1.98
9950;1.99
9960;1.99
9960;2.00
9960;2.00
9960;2.01
9960;2.01
9960;2.02
9960;2.03
9950;2.03
9950;2.03
9950;2.04
9950;2.05
9950;2.05
9950;2.06
9950;2.06
9950;2.07
9950;2.07
9950;2.07
9940;2.08
9940;2.08
9940;2.09
9930;2.09
9930;2.10
9930;2.10
9920;2.11
9910;2.11
9910;2.12
9910;2.12
9910;2.13
9920;2.13
9920;2.14
9930;2.15
9930;2.15
9940;2.16
9940;2.16
9940;2.17
9940;2.17
9940;2.18
9930;2.18
9930;2.19
9930;2.19
9930;2.20
9930;2.21
9930;2.21
9930;2.22
9930;2.22
9930;2.23
9930;2.23
9930;2.24
9930;2.24
9930;2.25
9930;2.25
9930;2.26
9930;2.26
9930;2.27
9930;2.28
9940;2.28
9940;2.29
9940;2.29
9930;2.30
9930;2.30
9930;2.31
9940;2.31
9930;2.32
9910;2.32
9860;2.32
9830;2.32
9800;2.32
9790;2.32
9810;2.33
9840;2.33
9860;2.34
9880;2.35
9900;2.36
9920;2.37
9940;2.40
9960;2.42
9980;2.44
9990;2.47
9990;2.49
9990;2.52
9990;2.54
10000;2.57
10000;2.60
10000;2.63
10000;2.65
10000;2.68
10000;2.70
10000;2.72
10000;2.74
10000;2.76
10000;2.79
9980;2.81
9960;2.83
10000;2.85
10100;2.86
10100;2.87
10200;2.88
10200;2.90
10200;2.91
10300;2.92
10300;2.94
10300;2.95
10300;2.98
10300;3.01
10400;3.04
10400;3.07
10400;3.10
10500;3.13
10500;3.16
10500;3.20
10500;3.23
10600;3.26
10600;3.29
10600;3.32
10600;3.36
10700;3.39
10700;3.43
10700;3.46
10700;3.50
10800;3.54
10800;3.57
10800;3.61
10900;3.65
10900;3.69
10900;3.73
10900;3.76
11000;3.80
11000;3.84
11000;3.88
11000;3.92
11100;3.96
11100;4.00
11100;4.05
11100;4.09
11200;4.13
11200;4.18
11200;4.22
11300;4.27
11300;4.31
11300;4.35
11300;4.40
11400;4.44
11400;4.49
11400;4.54
11400;4.59
11500;4.63
11500;4.68
11500;4.73
11500;4.78
11600;4.82
11600;4.87
11600;4.92
11600;4.97
11700;5.02
11700;5.08
11700;5.13
11700;5.17
11800;5.23
11800;5.28
11800;5.34
11800;5.38
11900;5.43
11900;5.49
11900;5.55
11900;5.59
11900;5.64
12000;5.70
12000;5.76
12000;5.82
12000;5.88
12100;5.92
12100;5.97
12100;6.03
12100;6.09
12100;6.14
12200;6.20
12200;6.26
12200;6.32
12200;6.38
12200;6.44
12300;6.50
12300;6.56
12300;6.62
12300;6.68
12300;6.74
12400;6.80
12400;6.86
12400;6.91
12400;6.97
12400;7.03
12400;7.09
12500;7.17
12500;7.24
12500;7.27
12500;7.31
12500;7.39
12500;7.45
12600;7.51
12600;7.56
12600;7.60
12600;7.66
12600;7.72
12600;7.77
12600;7.84
12700;7.92
12700;7.94
12700;8.00
12700;8.07
12700;8.13
12700;8.17
12700;8.22
12700;8.29
12800;8.36
12800;8.42
12800;8.47
12800;8.51
12800;8.57
12800;8.63
12800;8.72
12800;8.77
12800;8.80
12900;8.82
12900;8.86
12900;8.90
12900;8.94
12900;8.97
12900;8.99
12900;9.03
12900;9.07
12900;9.10
12900;9.12
12900;9.16
12900;9.20
12900;9.24
12900;9.27
12900;9.29
12900;9.33
12900;9.37
13000;9.41
13000;9.45
13000;9.49
13000;9.51
13000;9.54
13000;9.58
13000;9.62
13000;9.66
13000;9.70
13000;9.73
13000;9.75
13000;9.79
13000;9.83
13000;9.87
13000;9.91
13000;9.95
13000;9.97
13000;10.0
13000;10.0
13000;10.1
13100;10.1
13100;10.2
13100;10.2
13100;10.2
13100;10.3
13100;10.3
13100;10.3
13100;10.4
13100;10.4
13100;10.4
13100;10.5
13100;10.5
13100;10.6
13100;10.6
13100;10.6
13100;10.7
13100;10.7
13100;10.8
13100;10.8
13100;10.8
13100;10.9
13100;10.9
13100;10.9
13200;11.0
13200;11.0
13200;11.0
13200;11.1
13200;11.1
13200;11.2
13200;11.2
13200;11.2
13200;11.3
13200;11.3
13200;11.4
13200;11.4
13200;11.4
13200;11.5
13200;11.5
13200;11.6
13200;11.6
13200;11.6
13200;11.7
13200;11.7
13200;11.7
13200;11.8
13200;11.8
13200;11.8
13200;11.9
13200;11.9
13200;12.0
13200;12.0
13200;12.0
13200;12.1
13300;12.1
13300;12.2
13300;12.2
13300;12.2
13300;12.3
13300;12.3
13300;12.4
13300;12.4
13300;12.5
13300;12.5
13300;12.5
13300;12.5
13300;12.6
13300;12.6
13300;12.7
13300;12.7
13300;12.8
13300;12.8
13300;12.8
13300;12.9
13300;12.9
13300;13.0
13300;13.0
13300;13.0
13300;13.1
13300;13.1
13300;13.2
13300;13.2
13300;13.2
13300;13.3
13300;13.3
13300;13.4
13300;13.4
13300;13.4
13300;13.5
13300;13.5
13300;13.5
13300;13.6
13300;13.6
13300;13.7
13300;13.7
13300;13.7
13300;13.8
13300;13.8
13300;13.9
13300;13.9
13300;13.9
13300;14.0
13300;14.0
13300;14.1
13400;14.1
13400;14.2
13400;14.2
13400;14.2
13400;14.3
13400;14.3
13400;14.4
13400;14.4
13400;14.4
13400;14.5
13400;14.5
13400;14.6
13400;14.6
13400;14.6
13400;14.7
13400;14.7
13400;14.8
13400;14.8
13400;14.8
13400;14.9
13400;14.9
13400;15.0
13400;15.0
13400;15.0
13400;15.1
13400;15.1
13400;15.2
13400;15.2
13400;15.3
13400;15.3
13400;15.3
13400;15.4
13400;15.4
13400;15.5
13400;15.5
13400;15.5
13400;15.6
13400;15.6
13400;15.7
13400;15.7
13400;15.7
13400;15.8
13400;15.8
13400;15.9
13400;15.9
13400;16.0
13400;16.0
13400;16.0
13400;16.1
13400;16.1
13400;16.2
13400;16.2
13400;16.2
13400;16.3
13400;16.3
13400;16.4
13400;16.4
13400;16.5
13400;16.5
13400;16.5
13400;16.6
13400;16.6
13400;16.7
13400;16.7
13400;16.7
13400;16.8
13400;16.8
13400;16.9
13400;16.9
13400;17.0
13400;17.0
13400;17.0
13400;17.1
13400;17.1
13400;17.2
13400;17.2
13400;17.3
13400;17.3
13400;17.3
13400;17.4
13400;17.4
13400;17.5
13400;17.5
13400;17.5
13400;17.6
13400;17.6
13400;17.7
13400;17.7
13300;17.8
